date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2017-11-02,RL,855955.01,855755.77,-0.023,71.151,14,30.11,4.35,142.29,1,14,,ALKEM.NS,IDFCFIRSTB.NS:8.0%|DRREDDY.NS:8.0%|ONGC.NS:7.4%|WHIRLPOOL.NS:7.4%|PETRONET.NS:7.3%,Energy×2.0|Chemicals×2.0|ConsumerDiscretionary×1.9,IT×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,1.82,2.0,0.529,0.3,0.3,0.3,1.896,0.3,0.3,2.0,0.3,0.3,0.3,0.3,0.3
2017-11-30,RL,855755.77,845723.43,-1.172,69.145,13,25.1,27.52,990.69,12,6,"ALKEM.NS,ALKYLAMINE.NS,IOC.NS,MGL.NS","CIPLA.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,VOLTAS.NS",WHIRLPOOL.NS:8.0%|IOC.NS:8.0%|IDFCFIRSTB.NS:7.7%|DRREDDY.NS:7.7%|ALKEM.NS:7.7%,Energy×2.0|ConsumerDiscretionary×2.0|Chemicals×2.0,IT×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,1.876,2.0,0.519,0.3,0.3,0.3,2.0,0.3,0.3,2.0,0.3,0.3,0.3,0.3,0.3
2017-12-28,RL,861509.45,861015.9,-0.057,72.203,14,24.87,8.66,352.52,6,9,"ONGC.NS,RELIANCE.NS",PETRONET.NS,WHIRLPOOL.NS:8.1%|IOC.NS:8.1%|IDFCFIRSTB.NS:7.8%|DRREDDY.NS:7.8%|ALKEM.NS:7.7%,Energy×2.0|Chemicals×2.0|Banking×1.9,IT×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,1.851,2.0,0.575,0.3,0.3,0.3,1.846,0.3,0.3,2.0,0.3,0.3,0.3,0.3,0.3
2018-01-25,RL,876860.31,876124.69,-0.084,75.225,13,25.05,10.89,525.44,7,9,"NAVINFLUOR.NS,PETRONET.NS","ONGC.NS,RELIANCE.NS,TITAN.NS",MGL.NS:8.0%|WHIRLPOOL.NS:8.0%|IOC.NS:8.0%|IDFCFIRSTB.NS:7.7%|DRREDDY.NS:7.7%,Energy×2.0|Chemicals×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|FMCG×0.3,0.5,False,1.913,2.0,0.503,0.3,0.3,0.3,1.982,0.3,0.3,2.0,0.3,0.3,0.3,0.3,0.3
2018-02-22,RL,876124.69,827346.84,-5.567,65.469,13,25.17,25.47,928.29,13,4,"ADANIPORTS.NS,MARICO.NS,NTPC.NS,POWERGRID.NS","ALKEM.NS,ALKYLAMINE.NS,DIVISLAB.NS,DRREDDY.NS",POWERGRID.NS:8.1%|ASIANPAINT.NS:8.1%|MGL.NS:7.9%|WHIRLPOOL.NS:7.9%|IOC.NS:7.9%,Banking×2.0|CapitalGoods×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Automobiles×0.3,0.5,False,2.0,1.354,0.3,0.3,1.642,0.3,2.0,2.0,0.318,0.669,0.3,0.3,1.052,0.3,0.3
2018-03-22,RL,827346.84,821384.65,-0.721,64.277,13,24.73,13.89,556.06,7,7,PIDILITIND.NS,NAVINFLUOR.NS,MGL.NS:8.3%|WHIRLPOOL.NS:8.2%|IOC.NS:8.2%|IDFCFIRSTB.NS:7.9%|POWERGRID.NS:7.9%,Banking×2.0|CapitalGoods×2.0|ConsumerDiscretionary×2.0,IT×0.3|Automobiles×0.3|Pharma×0.3,0.93,False,2.0,1.038,0.3,0.361,1.719,0.3,2.0,2.0,0.648,0.359,0.3,0.33,1.24,0.3,0.3
2018-04-19,RL,842300.94,841171.15,-0.134,68.234,13,29.8,22.04,806.94,5,10,"CUMMINSIND.NS,HAVELLS.NS","IOC.NS,PIDILITIND.NS",MGL.NS:8.3%|WHIRLPOOL.NS:8.2%|IDFCFIRSTB.NS:7.9%|HAVELLS.NS:7.9%|POWERGRID.NS:7.9%,Banking×2.0|CapitalGoods×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Automobiles×0.3,0.58,False,2.0,1.237,0.3,0.3,1.611,0.3,2.0,2.0,0.393,0.566,0.3,0.3,1.072,0.3,0.3
2018-05-17,RL,841171.15,824709.41,-1.957,64.942,13,25.01,28.04,1015.98,9,8,"GAIL.NS,GODREJCP.NS,LT.NS,SBIN.NS","ADANIPORTS.NS,CUMMINSIND.NS,FEDERALBNK.NS,MGL.NS",WHIRLPOOL.NS:8.1%|PETRONET.NS:8.0%|GAIL.NS:8.0%|IDFCFIRSTB.NS:7.8%|HAVELLS.NS:7.8%,Banking×2.0|ConsumerDiscretionary×2.0|CapitalGoods×1.8,IT×0.3|FinancialServices×0.3|Automobiles×0.3,0.5,False,2.0,1.596,0.3,0.3,1.367,0.3,2.0,1.832,0.3,0.954,0.3,0.3,0.771,0.3,0.3
2018-06-14,RL,832609.55,830915.61,-0.203,66.183,13,24.94,29.12,1209.95,9,9,"ADANIPORTS.NS,FEDERALBNK.NS,ICICIBANK.NS,NAVINFLUOR.NS,VOLTAS.NS","GODREJCP.NS,HDFCBANK.NS,LT.NS,MARICO.NS,WHIRLPOOL.NS",PETRONET.NS:8.1%|GAIL.NS:8.1%|ASIANPAINT.NS:8.0%|NAVINFLUOR.NS:8.0%|IDFCFIRSTB.NS:7.9%,Banking×2.0|ConsumerDiscretionary×2.0|Energy×1.9,IT×0.3|FinancialServices×0.3|Automobiles×0.3,0.5,False,2.0,1.934,0.3,0.3,0.898,0.3,2.0,1.022,0.3,1.361,0.3,0.3,0.377,0.3,0.3
2018-07-12,RL,830915.61,817988.22,-1.556,63.598,15,27.63,18.76,811.29,13,5,"CUMMINSIND.NS,DABUR.NS,MARICO.NS,TITAN.NS,WHIRLPOOL.NS","ADANIPORTS.NS,GAIL.NS,HAVELLS.NS",PETRONET.NS:8.1%|ASIANPAINT.NS:7.9%|NAVINFLUOR.NS:7.9%|IDFCFIRSTB.NS:7.8%|POWERGRID.NS:7.8%,Banking×2.0|CapitalGoods×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Automobiles×0.3,0.5,False,2.0,1.373,0.3,0.3,1.546,0.3,2.0,2.0,0.3,0.704,0.3,0.3,0.966,0.3,0.3
