date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2022-07-07,RL,1902676.61,1860736.38,-2.204,272.147,17,5.01,5.99,663.09,10,8,"ACC.NS,ALKYLAMINE.NS",DLF.NS,MUTHOOTFIN.NS:8.0%|AMBUJACEM.NS:7.8%|DEEPAKNTR.NS:7.8%|NAVINFLUOR.NS:7.8%|DMART.NS:7.8%,FinancialServices×2.0|Telecom×2.0|Cement×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.3,2.0,2.0,1.108,2.0,0.3,0.3,2.0
2022-08-04,RL,2034432.35,2023638.91,-0.531,304.728,12,9.38,82.34,7709.39,11,15,"ASHOKLEY.NS,BHARTIARTL.NS,GRASIM.NS,HEROMOTOCO.NS,INDUSTOWER.NS,PERSISTENT.NS,PIIND.NS,PRESTIGE.NS,WIPRO.NS","ALKYLAMINE.NS,ASIANPAINT.NS,CHOLAFIN.NS,DEEPAKNTR.NS,DMART.NS,GODREJPROP.NS,HDFCLIFE.NS,LICHSGFIN.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,OBEROIRLTY.NS,SAIL.NS,VEDL.NS,VOLTAS.NS",HEROMOTOCO.NS:7.6%|ASHOKLEY.NS:7.6%|SHREECEM.NS:7.6%|ACC.NS:7.6%|AMBUJACEM.NS:7.6%,Banking×2.0|Automobiles×2.0|Telecom×2.0,FinancialServices×0.3|FMCG×0.3|Pharma×0.3,1.5,False,2.0,0.3,0.3,0.3,0.3,2.0,0.3,0.3,2.0,2.0,0.3,2.0,0.3,1.107,2.0
2022-09-01,RL,2085037.16,2076760.98,-0.397,315.352,16,0.0,63.49,5911.76,12,11,"APOLLOHOSP.NS,COALINDIA.NS,CUMMINSIND.NS,HINDALCO.NS,JSWSTEEL.NS,METROPOLIS.NS,MUTHOOTFIN.NS,OBEROIRLTY.NS,POWERGRID.NS,SAIL.NS,VEDL.NS","ASHOKLEY.NS,BHARTIARTL.NS,GRASIM.NS,HEROMOTOCO.NS,PERSISTENT.NS,PIIND.NS,WIPRO.NS",POWERGRID.NS:7.4%|CUMMINSIND.NS:7.4%|MUTHOOTFIN.NS:7.4%|APOLLOHOSP.NS:7.4%|METROPOLIS.NS:7.4%,FinancialServices×2.0|Cement×2.0|ConsumerDiscretionary×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.469,2.0,2.0,1.577,1.347,0.3,0.3,2.0
2022-09-29,RL,2076760.98,2037754.19,-1.878,307.551,12,25.09,55.89,4573.66,11,11,"ASHOKLEY.NS,HDFCBANK.NS,HEROMOTOCO.NS,ICICIBANK.NS,KOTAKBANK.NS,SBIN.NS","APOLLOHOSP.NS,COALINDIA.NS,CUMMINSIND.NS,HINDALCO.NS,JSWSTEEL.NS,METROPOLIS.NS,MUTHOOTFIN.NS,POWERGRID.NS,SAIL.NS,VEDL.NS",AMBUJACEM.NS:8.0%|SHREECEM.NS:8.0%|HDFCBANK.NS:8.0%|ACC.NS:8.0%|SBIN.NS:8.0%,IT×2.0|Banking×2.0|Automobiles×2.0,FinancialServices×0.3|FMCG×0.3|Pharma×0.3,1.5,False,2.0,2.0,0.3,0.3,0.3,2.0,0.3,0.3,1.445,1.169,0.3,2.0,0.3,2.0,2.0
2022-10-27,RL,2083495.33,2072773.52,-0.515,314.555,14,0.0,84.48,7658.74,13,11,"ASIANPAINT.NS,BHARTIARTL.NS,BRIGADE.NS,GODREJPROP.NS,GRASIM.NS,HDFCLIFE.NS,MUTHOOTFIN.NS,NMDC.NS,SAIL.NS,TITAN.NS,VEDL.NS,VOLTAS.NS","ACC.NS,AMBUJACEM.NS,ASHOKLEY.NS,HDFCBANK.NS,HEROMOTOCO.NS,ICICIBANK.NS,KOTAKBANK.NS,PRESTIGE.NS,SBIN.NS,SHREECEM.NS",GRASIM.NS:8.1%|MUTHOOTFIN.NS:8.1%|HDFCLIFE.NS:8.1%|BHARTIARTL.NS:8.1%|INDUSTOWER.NS:8.1%,FinancialServices×2.0|Cement×2.0|ConsumerDiscretionary×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.34,2.0,2.0,1.502,1.57,0.3,0.3,2.0
2022-11-24,RL,2115333.29,2114076.0,-0.059,322.815,18,0.0,7.7,898.06,7,11,"AARTIIND.NS,ALKYLAMINE.NS,FORTIS.NS,MAXHEALTH.NS",,GRASIM.NS:8.0%|MUTHOOTFIN.NS:8.0%|HDFCLIFE.NS:8.0%|BHARTIARTL.NS:8.0%|INDUSTOWER.NS:8.0%,Telecom×2.0|Cement×2.0|ConsumerDiscretionary×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,1.946,2.0,0.3,2.0,0.3,2.0,2.0,0.794,2.0,0.3,0.3,2.0
2022-12-22,RL,2114076.0,2077341.37,-1.738,315.468,19,0.0,17.92,1734.36,16,5,"ACC.NS,METROPOLIS.NS,SHREECEM.NS","HDFCLIFE.NS,VEDL.NS",ALKYLAMINE.NS:8.0%|GRASIM.NS:7.8%|MUTHOOTFIN.NS:7.8%|BHARTIARTL.NS:7.8%|INDUSTOWER.NS:7.8%,Telecom×2.0|Cement×2.0|Healthcare×2.0,IT×0.3|FMCG×0.3|Automobiles×0.3,0.5,False,0.365,0.3,0.3,1.185,2.0,0.3,1.839,0.3,2.0,2.0,0.451,2.0,0.3,0.3,2.0
2023-01-19,RL,2082779.22,2081218.2,-0.075,316.244,19,0.0,9.89,1115.01,11,9,APOLLOHOSP.NS,VOLTAS.NS,ALKYLAMINE.NS:8.1%|APOLLOHOSP.NS:8.0%|GRASIM.NS:7.9%|MUTHOOTFIN.NS:7.9%|BHARTIARTL.NS:7.9%,Telecom×2.0|Cement×2.0|ConsumerDiscretionary×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,1.968,2.0,0.3,2.0,0.3,2.0,2.0,0.826,2.0,0.3,0.3,2.0
2023-02-16,RL,2081218.2,2027858.08,-2.564,305.572,19,0.0,2.82,313.61,13,6,,,ALKYLAMINE.NS:8.1%|APOLLOHOSP.NS:8.0%|GRASIM.NS:7.9%|MUTHOOTFIN.NS:7.9%|BHARTIARTL.NS:7.9%,FinancialServices×2.0|Telecom×2.0|Cement×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.3,2.0,2.0,1.027,2.0,0.3,0.3,2.0
2023-03-16,RL,2027858.08,1980624.42,-2.329,296.125,18,0.0,1.21,283.45,14,5,,METROPOLIS.NS,ALKYLAMINE.NS:8.2%|APOLLOHOSP.NS:8.0%|GRASIM.NS:8.0%|MUTHOOTFIN.NS:8.0%|BHARTIARTL.NS:8.0%,FinancialServices×2.0|Telecom×2.0|Cement×2.0,IT×0.3|Banking×0.3|FMCG×0.3,0.5,False,0.3,0.3,0.3,2.0,2.0,0.3,2.0,0.3,2.0,2.0,1.055,2.0,0.3,0.3,2.0
