date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2019-10-31,RL,1284045.93,1278752.51,-0.412,155.751,9,0.0,67.57,3781.19,7,7,"BAJAJ-AUTO.NS,BANDHANBNK.NS,DMART.NS,FEDERALBNK.NS,HEROMOTOCO.NS,PIIND.NS","AXISBANK.NS,EICHERMOT.NS,INDUSINDBK.NS,SBIN.NS,WHIRLPOOL.NS",BANDHANBNK.NS:13.9%|FEDERALBNK.NS:13.9%|PIIND.NS:13.9%|DMART.NS:13.9%|HAVELLS.NS:13.9%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.416,0.3,0.3,1.763,0.3,0.3
2019-11-28,RL,1278752.51,1255779.6,-1.797,151.156,8,0.0,61.8,3639.42,8,5,"DABUR.NS,EICHERMOT.NS,HDFCBANK.NS,MARUTI.NS","BAJAJ-AUTO.NS,DMART.NS,FEDERALBNK.NS,M&M.NS,PIIND.NS",BANDHANBNK.NS:16.2%|HDFCBANK.NS:16.2%|HAVELLS.NS:16.2%|DABUR.NS:16.2%|ASHOKLEY.NS:8.8%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,0.543,0.3,0.3
2019-12-26,RL,1255779.6,1221459.53,-2.733,144.292,8,0.85,67.95,4113.64,7,6,"AXISBANK.NS,FEDERALBNK.NS,M&M.NS,PIDILITIND.NS,SBIN.NS","BANDHANBNK.NS,DABUR.NS,HDFCBANK.NS,HEROMOTOCO.NS,MARUTI.NS",HAVELLS.NS:15.6%|PIDILITIND.NS:15.6%|M&M.NS:11.3%|ASHOKLEY.NS:11.3%|EICHERMOT.NS:11.3%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FMCG×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.662,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2020-01-23,RL,1271386.59,1267600.93,-0.298,153.52,8,0.0,45.66,2704.0,5,6,"BANDHANBNK.NS,ITC.NS,WHIRLPOOL.NS","ASHOKLEY.NS,FEDERALBNK.NS,PIDILITIND.NS",EICHERMOT.NS:13.9%|M&M.NS:13.9%|HAVELLS.NS:13.9%|WHIRLPOOL.NS:13.9%|ITC.NS:13.9%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,1.574,0.3,0.3
2020-02-20,RL,1267600.93,1194288.33,-5.784,138.858,10,0.0,52.62,2796.59,7,6,"BRITANNIA.NS,FEDERALBNK.NS,IDFCFIRSTB.NS,INDUSINDBK.NS,MARICO.NS","AXISBANK.NS,EICHERMOT.NS,M&M.NS",WHIRLPOOL.NS:15.7%|HAVELLS.NS:15.7%|MARICO.NS:11.4%|ITC.NS:11.4%|BRITANNIA.NS:11.4%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.934,0.3,0.3,1.837,0.3,0.3
2020-03-19,RL,1194288.33,896235.37,-24.957,79.247,16,12.0,66.1,2931.16,12,7,"CIPLA.NS,COLPAL.NS,EICHERMOT.NS,HEROMOTOCO.NS,NESTLEIND.NS,NMDC.NS,SUNPHARMA.NS,TATASTEEL.NS,VOLTAS.NS","HAVELLS.NS,IDFCFIRSTB.NS,SBIN.NS",EICHERMOT.NS:5.5%|HEROMOTOCO.NS:5.5%|INDUSINDBK.NS:5.5%|BANDHANBNK.NS:5.5%|FEDERALBNK.NS:5.5%,Banking×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,1.17,False,2.0,0.3,2.0,0.3,0.3,2.0,1.187,0.889,0.3,2.0,2.0,0.3,1.519,0.3,0.3
2020-04-16,RL,1184260.37,1182693.21,-0.132,136.539,14,15.0,52.85,1119.1,2,14,,"BRITANNIA.NS,NESTLEIND.NS",EICHERMOT.NS:6.9%|HEROMOTOCO.NS:6.9%|BANDHANBNK.NS:6.9%|FEDERALBNK.NS:6.9%|VOLTAS.NS:6.9%,Banking×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,1.32,True,2.0,0.3,2.0,0.3,0.3,2.0,0.941,1.145,0.3,2.0,2.0,0.3,1.49,0.3,0.3
2020-05-14,RL,1203006.1,1197752.32,-0.437,139.55,12,12.0,72.63,3752.88,11,12,"ASHOKLEY.NS,HAVELLS.NS,HINDUNILVR.NS,M&M.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,PIDILITIND.NS,TVSMOTOR.NS","BANDHANBNK.NS,CIPLA.NS,COLPAL.NS,FEDERALBNK.NS,HEROMOTOCO.NS,ITC.NS,MARICO.NS,NMDC.NS,SUNPHARMA.NS,TATASTEEL.NS,WHIRLPOOL.NS",INDUSINDBK.NS:9.4%|NAVINFLUOR.NS:9.4%|NESTLEIND.NS:9.4%|HINDUNILVR.NS:9.4%|MUTHOOTFIN.NS:9.4%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|Pharma×0.3|Energy×0.3,0.5,False,2.0,0.3,0.3,0.724,0.3,2.0,2.0,0.3,0.3,0.549,0.3,0.3,0.514,0.3,0.3
2020-06-11,RL,1306646.01,1301621.3,-0.385,160.324,8,0.0,57.41,3589.11,8,7,"ASIANPAINT.NS,COLPAL.NS,ICICIBANK.NS","ASHOKLEY.NS,HINDUNILVR.NS,INDUSINDBK.NS,M&M.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,TVSMOTOR.NS",EICHERMOT.NS:16.2%|ICICIBANK.NS:16.2%|NESTLEIND.NS:16.2%|COLPAL.NS:16.2%|HAVELLS.NS:8.8%,Banking×2.0|Automobiles×2.0|ConsumerDiscretionary×2.0,IT×0.3|FinancialServices×0.3|Pharma×0.3,0.5,False,2.0,0.3,0.3,0.3,0.3,2.0,2.0,0.3,0.3,0.3,0.3,0.3,0.967,0.3,0.3
2020-07-09,RL,1375141.25,1367503.73,-0.555,173.501,12,30.0,92.02,5455.12,12,8,"AMBUJACEM.NS,BAJAJ-AUTO.NS,BRIGADE.NS,CHOLAFIN.NS,GODREJPROP.NS,HDFCBANK.NS,KOTAKBANK.NS,MPHASIS.NS,SBILIFE.NS,SHREECEM.NS,TVSMOTOR.NS,ULTRACEMCO.NS","ASIANPAINT.NS,COLPAL.NS,EICHERMOT.NS,HAVELLS.NS,ICICIBANK.NS,NESTLEIND.NS,PIDILITIND.NS,VOLTAS.NS",BAJAJ-AUTO.NS:6.3%|TVSMOTOR.NS:6.3%|HDFCBANK.NS:6.3%|KOTAKBANK.NS:6.3%|SBILIFE.NS:6.3%,IT×2.0|Banking×2.0|FinancialServices×2.0,FMCG×0.3|Pharma×0.3|Energy×0.3,0.5,False,2.0,0.3,0.3,2.0,0.3,2.0,0.3,0.3,0.44,0.3,0.3,0.3,0.3,2.0,1.229
