strategy,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,hit_rate,benchmark_cagr,information_ratio
RL Portfolio,0.1579,0.1522,0.6429,0.8535,0.71,-0.2223,0.5563,0.0968,0.4947
Nifty B&H,0.0983,0.1633,0.2347,0.2885,0.2558,-0.3844,0.5364,0.0983,0.0
Equal Weight,0.2678,0.2164,0.9603,1.5404,0.8831,-0.3033,0.5856,0.0968,1.0473
Sector Momentum,0.2591,0.2069,0.9621,1.426,1.0183,-0.2545,0.5746,0.0968,1.0173
