date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_Energy,tilt_Pharma,tilt_FinancialServices,tilt_Healthcare,tilt_Automobiles,tilt_ConsumerDiscretionary,tilt_CapitalGoods,tilt_RealEstate,tilt_Chemicals,tilt_Metals,tilt_Telecom,tilt_FMCG,tilt_IT,tilt_Cement
2020-10-01,RL,1275000.81,1232359.42,-3.344,146.472,24,0.0,86.22,4191.41,20,8,"ALKYLAMINE.NS,AXISBANK.NS,BAJAJ-AUTO.NS,COALINDIA.NS,DEEPAKNTR.NS,GODREJCP.NS,HDFCBANK.NS,HINDALCO.NS,ICICIBANK.NS,KOTAKBANK.NS,LTIM.NS,MARUTI.NS,METROPOLIS.NS,MGL.NS,NAVINFLUOR.NS,NMDC.NS,PETRONET.NS,RELIANCE.NS,SAIL.NS,SBIN.NS","BHARTIARTL.NS,BIOCON.NS,BRIGADE.NS,HDFCLIFE.NS",BAJAJ-AUTO.NS:4.2%|MARUTI.NS:4.2%|ICICIBANK.NS:4.2%|HDFCBANK.NS:4.2%|SBIN.NS:4.2%,Banking×2.0|FinancialServices×2.0|Automobiles×2.0,CapitalGoods×0.3|ConsumerDiscretionary×0.3|FMCG×0.4,1.1,False,2.0,1.574,2.0,2.0,2.0,2.0,0.3,0.3,2.0,2.0,2.0,2.0,0.413,1.837,2.0
2020-10-29,RL,1275672.43,1274195.67,-0.116,154.839,21,12.0,25.77,1054.69,10,16,"BRIGADE.NS,M&M.NS","BAJAJ-AUTO.NS,DEEPAKNTR.NS,GODREJCP.NS,ICICIBANK.NS,TORNTPHARM.NS",M&M.NS:5.5%|ALKYLAMINE.NS:4.9%|MGL.NS:4.2%|HINDALCO.NS:4.2%|MARUTI.NS:4.2%,IT×2.0|Banking×2.0|FinancialServices×2.0,FMCG×0.3|CapitalGoods×0.3|ConsumerDiscretionary×0.3,1.5,False,2.0,2.0,2.0,2.0,2.0,2.0,0.3,0.3,2.0,2.0,2.0,2.0,0.3,2.0,2.0
2020-11-26,RL,1462644.2,1455451.9,-0.492,191.09,8,30.0,81.03,5137.08,8,20,"BRITANNIA.NS,CHOLAFIN.NS,CIPLA.NS,DRREDDY.NS,ITC.NS,MARICO.NS,PRESTIGE.NS","ALKYLAMINE.NS,AUROPHARMA.NS,AXISBANK.NS,BRIGADE.NS,COALINDIA.NS,HDFCBANK.NS,HINDALCO.NS,KOTAKBANK.NS,LTIM.NS,M&M.NS,MARUTI.NS,METROPOLIS.NS,MGL.NS,NAVINFLUOR.NS,NMDC.NS,PETRONET.NS,RELIANCE.NS,SAIL.NS,SBIN.NS,SUNPHARMA.NS",CHOLAFIN.NS:11.0%|PRESTIGE.NS:11.0%|MARICO.NS:8.0%|ITC.NS:8.0%|BRITANNIA.NS:8.0%,RealEstate×1.6|Pharma×1.4|FinancialServices×1.4,IT×0.3|Banking×0.3|Automobiles×0.3,0.5,False,0.3,0.3,1.413,1.394,0.3,0.3,0.3,0.3,1.634,0.3,0.3,0.965,0.609,0.3,0.3
2020-12-24,RL,1497010.39,1492436.29,-0.306,198.487,5,30.0,47.24,3267.28,5,5,"DABUR.NS,GODREJCP.NS","ALKEM.NS,CHOLAFIN.NS,CIPLA.NS,DRREDDY.NS,PRESTIGE.NS",GODREJCP.NS:14.0%|ITC.NS:14.0%|DABUR.NS:14.0%|BRITANNIA.NS:14.0%|MARICO.NS:14.0%,,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.38,0.785,0.3,0.3,0.3,0.905,0.3,0.3
2021-01-21,RL,1536383.86,1530858.02,-0.36,206.172,8,30.0,51.0,3947.01,5,5,"BRIGADE.NS,COLPAL.NS,DLF.NS,HINDUNILVR.NS,VOLTAS.NS","DABUR.NS,ITC.NS",VOLTAS.NS:13.5%|DLF.NS:13.5%|BRIGADE.NS:13.5%|MARICO.NS:5.9%|HINDUNILVR.NS:5.9%,,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,0.3,0.453,0.706,0.422,0.3,0.3,0.3,1.1,0.3,0.3
2021-02-18,RL,1562757.05,1556415.0,-0.406,211.283,8,30.0,58.05,4530.03,7,8,"BAJFINANCE.NS,HDFCBANK.NS,INDUSINDBK.NS,KOTAKBANK.NS,LICHSGFIN.NS,MUTHOOTFIN.NS,TORNTPHARM.NS","BRITANNIA.NS,COLPAL.NS,DLF.NS,GODREJCP.NS,HINDUNILVR.NS,MARICO.NS,VOLTAS.NS",TORNTPHARM.NS:11.0%|BRIGADE.NS:11.0%|HDFCBANK.NS:8.0%|KOTAKBANK.NS:8.0%|INDUSINDBK.NS:8.0%,Pharma×2.0|RealEstate×1.6|FinancialServices×1.4,IT×0.3|Automobiles×0.3|Energy×0.3,0.5,False,0.639,0.3,2.0,1.432,0.3,0.3,0.3,0.3,1.579,0.325,0.3,1.054,0.315,0.3,0.3
2021-03-18,RL,1556415.0,1480791.57,-4.859,196.158,22,0.0,90.77,5339.86,19,8,"AARTIIND.NS,ACC.NS,ALKEM.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DEEPAKNTR.NS,DRREDDY.NS,FEDERALBNK.NS,FORTIS.NS,GRASIM.NS,ICICIBANK.NS,INDUSTOWER.NS,IOC.NS,METROPOLIS.NS,SAIL.NS,SBIN.NS,SHREECEM.NS,ULTRACEMCO.NS","BAJFINANCE.NS,INDUSINDBK.NS,LICHSGFIN.NS,MUTHOOTFIN.NS,TORNTPHARM.NS",FEDERALBNK.NS:4.5%|KOTAKBANK.NS:4.5%|HDFCBANK.NS:4.5%|ICICIBANK.NS:4.5%|SBIN.NS:4.5%,IT×2.0|Banking×2.0|FinancialServices×2.0,FMCG×0.3|CapitalGoods×0.3|ConsumerDiscretionary×0.3,1.5,False,2.0,2.0,2.0,2.0,2.0,2.0,0.3,0.3,2.0,2.0,2.0,2.0,0.3,2.0,2.0
2021-04-15,RL,1640671.21,1639559.13,-0.068,227.912,20,8.0,22.57,794.15,2,20,,"HDFCBANK.NS,SBIN.NS",KOTAKBANK.NS:5.9%|FEDERALBNK.NS:4.5%|ICICIBANK.NS:4.5%|ULTRACEMCO.NS:4.5%|GRASIM.NS:4.5%,IT×2.0|Banking×2.0|Automobiles×2.0,FMCG×0.3|CapitalGoods×0.3|ConsumerDiscretionary×0.3,1.5,False,2.0,2.0,2.0,1.562,2.0,2.0,0.3,0.3,1.937,2.0,2.0,2.0,0.3,2.0,2.0
2021-05-13,RL,1735666.5,1732440.42,-0.186,246.488,19,0.0,31.22,2304.47,10,13,"AMBUJACEM.NS,HDFCBANK.NS,NAVINFLUOR.NS","ALKEM.NS,DRREDDY.NS,FEDERALBNK.NS,METROPOLIS.NS",FORTIS.NS:8.0%|HDFCBANK.NS:8.0%|NAVINFLUOR.NS:8.0%|KOTAKBANK.NS:8.0%|AMBUJACEM.NS:7.6%,IT×2.0|Banking×2.0|FinancialServices×2.0,FMCG×0.3|CapitalGoods×0.3|ConsumerDiscretionary×0.3,1.5,False,2.0,2.0,2.0,2.0,2.0,2.0,0.3,0.3,2.0,2.0,2.0,2.0,0.3,2.0,2.0
2021-06-10,RL,1814240.25,1803082.48,-0.615,260.616,5,0.0,88.34,7969.85,5,17,"GODREJPROP.NS,PIDILITIND.NS,WHIRLPOOL.NS","AARTIIND.NS,ACC.NS,AMBUJACEM.NS,BRIGADE.NS,CIPLA.NS,COALINDIA.NS,DEEPAKNTR.NS,FORTIS.NS,GRASIM.NS,HDFCBANK.NS,ICICIBANK.NS,IOC.NS,KOTAKBANK.NS,NAVINFLUOR.NS,SAIL.NS,SHREECEM.NS,ULTRACEMCO.NS",WHIRLPOOL.NS:20.0%|PIDILITIND.NS:20.0%|GODREJPROP.NS:20.0%|BHARTIARTL.NS:20.0%|INDUSTOWER.NS:20.0%,RealEstate×2.0|ConsumerDiscretionary×1.3|Telecom×1.3,IT×0.3|Banking×0.3|FinancialServices×0.3,0.5,False,0.3,0.3,0.3,0.3,0.3,0.3,1.312,0.3,2.0,0.3,0.3,1.26,0.3,0.3,0.3
