run_id,run_mode,backtest_start_date,backtest_end_date,report_generated_at_utc,sector,feature,importance,importance_share,rank
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,CapitalGoods,mom_accel_3m_6m,104.0,0.1395973154362416,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,CapitalGoods,ret_3m,84.0,0.11275167785234899,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Cement,amihud_1m,151.0,0.20798898071625344,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Cement,vol_3m,144.0,0.19834710743801653,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Cement,mom_12m_skip1m,134.0,0.18457300275482094,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Cement,ma_50_200_ratio,127.0,0.174931129476584,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Cement,ret_3m,90.0,0.12396694214876033,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Cement,mom_accel_3m_6m,80.0,0.11019283746556474,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Chemicals,vol_3m,178.0,0.2557471264367816,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Chemicals,ma_50_200_ratio,152.0,0.21839080459770116,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Chemicals,amihud_1m,118.0,0.16954022988505746,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Chemicals,mom_12m_skip1m,100.0,0.14367816091954022,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Chemicals,ret_3m,81.0,0.11637931034482758,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Chemicals,mom_accel_3m_6m,67.0,0.09626436781609195,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,ConsumerDiscretionary,ma_50_200_ratio,128.0,0.2188034188034188,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,ConsumerDiscretionary,vol_3m,123.0,0.21025641025641026,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,ConsumerDiscretionary,mom_12m_skip1m,105.0,0.1794871794871795,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,ConsumerDiscretionary,amihud_1m,99.0,0.16923076923076924,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,ConsumerDiscretionary,ret_3m,67.0,0.11452991452991453,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,ConsumerDiscretionary,mom_accel_3m_6m,63.0,0.1076923076923077,6
